idx,class,conversation_sr
1997,직장 내 괴롭힘 대화,혹시 민지님 맞나요? 아니 다른게이제아니고 우리 회사 워크숍 있잖아 아직 여기전이야? 지금 다 도착해있는데 무슨소리야 단체 메시지 못 봤어? 장소무슨변경 됐잖아. 아 진짜? 잠시만 확인해볼게 음. 나는 그런 애 받은 적대박없는데 확인 죠 해줄래? 저기 알아서님 씨가 바뀐 워크숍 장소너못 들었다는데 소릴까요? 아 깜박하고 못늦지말고보내줬나 보네각과장 문자타고 오던 해 근데 늦지 않게.와 늦으면 나중에 인사평가 문제 되는 알지? 도착서 가는데 최소 2시간 이상은 걸려서 늦을거 같은데요.안차가 착각 여기로 온건데 방법이 없을까요? 네가 와서해놓고 무슨 야 정확히 알고 갔어야지 안 그러냐 야말거그러게요 저러니 눈치없다는 소리만소리듣고 다니지 메시지 눈치껏 움직여라 눈치껏 너 늦게오면 또 몇 명이 기다려야가하냐? 내가 어제 너한테 물어 봤잖아. 여기 맞냐고 근데 가 맞다고 했잖아 내가 언제? 말 ? 할 ?없어서 야 사기꾼 만드네 진짜 얘 인성 이좀 제 이런 사람 믿으면 안된다고 그랬잖아요 야 그러네 알려줘서 고맙다 우리팀에 이상한지어내니놈 굴러 들어온거 초반에 알고 어쨋든 와라 늦으면 어떻게 될지 오해
1998,협박 대화,너 내가 좋은 말로 할 때 빌린 돈 내놔. 아니 나 아직 월급이 안 들어와서 여윳돈이 없다구. 너 내가 처음 이러는 거 아니잖아. 왜 사람 화나게 하냐고 너는 내 월급날 모르잖아. 알려줬는데도 매일 사람한테 이럴거야? 야 너 내가 지금 칼 들고 너네 원룸 앞으로 간다! 아들딸야. 어이 친구 살살해. 지금 그게 사람이 할 소리야? 야. 전화 끊어봐. 나 지금 차 돌려서 가고 있어. 잠깐만. 진짜 오고 있냐고. 나 지금 못 나가. 여자친구랑 있어 그게 뭔 상관인데. 나는 내 돈 받으러 가겠다고. 지금 주머니칼 들고 갈테니까 알아서해.너 죽일거야 돈 안 주면 너 경찰 신고하기 전에 곱게 자. 밤이 깊었는데 뭐 하고 지랄이냐.
1999,협박 대화,잘 지냈어? 아니. 왜.? 아니 잘지냈으면 한 대 치려고 했는데 잘 못지냈으니까 넌 죽어도 되겠네. 머? 갑자기.? 왜그래. 왜그러긴 그냥 구린내기분이 별로여서 근데 왜 나를 죽여. 원래 구린내 꼬봉은 구린내가 하라는대로 하는거야. 알고 있지? 그래도 죽는거는 아니야. 머래 너가 못죽겠으면 구린내가 몽둥이갔다 너 죽여줄게 어때 괜찮지.? 아니야. 이러지마
2000,협박 대화,내 과거 니가 인터넷에 글 올렸어? 어 나 맞아 니 사료 잘 정가 되는꼴 보기싫어서 정도 글 올렸다 왜 정신이 나갔니? 이제야 일이 잘 풀리는데 왜 그랬어! 유괴 그러게 누가 죄짓고 살래? 너도 도 당해봐 지옥이 뭔지 느껴봐야해 돈필요해? 돈줄게 글 내려 돈때문에 글 올렸겠니 정신 좀 차리고 살아라 덜 떨어진 사람아 단단히 미쳤구나 니가 글 못내리겠다면야 기억 사람써서 강제 신전 로 하는 수밖에 없겠네 니가 별 수 있겠어? 어쩔건데 제정신 니가 조폭들 불러서 너 하나 문학 쯤 세상에서 없어지게 하는게 일인줄 알아? 금방이야 장기 문 팔아도 된다고하고 너 납치해서 바다 옛날 에 행운 던지면 돼 니가 잘못했는데 왜 내가 죽어야해!!!! 죄가 잘못이지 사람 난자 이 잘못이야? 너만 죽으면 난 다시 평소대로 잘나갈텐데 정한 사 당연히 잡으러가야 대천 지 않겠어? 잘 숨어봐 지구 끝까지 쫓아갈거니까
2001,기타 괴롭힘 대화,야 찐따 응. 가서 빵좀사와 지금? 그래. 우유도같이 돈은? 미터 니돈으로 정가 사 치 임마 지금 돈이 없는데 현대 어쭈 죽을래 미안해.
2002,직장 내 괴롭힘 대화,너 일로 와봐. 네. 너희 아까 손님들 앞에서 너희끼리 떠들면서 웃었니? 네??.아니요 아까 손님께서 말 거셔서 그냥 웃은 거에요. 여기가 어디라고 웃어 너희 일하러 왔지 놀러왔니? 죄송합니다. 하여튼 가봐.일이나 제대로 하면 말도 안해 네 그럼 가 보겠습니다. 아참가서 식빵 4개 모닝롤 3개 단호박빵 3개 가져와. 매니저님 죄송한데 다시 한번만 언어해 주실 수 있으실까요? 하.됐어 내가 할라니까 죄송합니다.
2003,기타 괴롭힘 대화,아가씨보이는거시간있어? 얼굴도 이쁘고 몸매도 크흐. 자연인가? 네? 불쾌하네요 뭐이렇게 이쁘다고 칭찬해주는건데곳도컵 넘나?맛있는것도넘어 같긴한데 있으면 이 오빠가 데려가주는데 좋은 사주고 네? 어때? 생각있어? 저리가세요 계속 그러시면 신고할거에요. 아 왜 가시간튕겨
2004,직장 내 괴롭힘 대화,김주임 일 처리 똑바로 안할거야? 죄송합니다 부장님. 자네 동기들은 다 벌써 대리고 과장이고 달았는데 왜 자네만 아직 주임인지 알겠구만. 이렇게 덜떨어져가지고. 죄송합니다 앞으로 더 신경쓰겠습니다. 죄송하면 다야? 이게 대체 몇번째야? 자네 머리가 좀 모자란거 아닌가? 학력 좋대서 뽑았더니 이거 원. 죄송합니다. 자네 회사가 만만해? 놀러 오나? 자네를 쓰느니 차라리 저기 놀이터에서 노는 애를 데려다 쓰는게 낫겠어 아주. 죄송합니다 시정하겠습니다. 대가리가 있으면 생각을 좀 의 알았어? 한번 더 이딴식으로 하면 회사고 뭐고 다 때려쳐.
2005,협박 대화,니가 내 헛소문 내고 다녔지? 뭐래 그렇게 나오면 안될텐데. 무슨 소리 하는지 모르겠다. 왜 이러면 안되는데? 너 할머니랑 둘이 살인식? 무슨 소리야.나 강남에서 엄마아빠랑 사는데 그거 다 거짓말이라는거 확인했어. 거짓말 아니야. 할머니를 죽여도 계속 그렇게 거짓말 할거야? 미쳤어???? 신고할거야.
2006,갈취 대화,이사님 이 사진. 모르지 않으실텐데요? 이. 이건. 이사님이 여기까지 오신거 다 이윤 표면 장인어른 분 덕 아니셨어요? 별것도 없는 대 금세 출신에서 그룹 이사 되신거 다 덕성 데릴사위로 성기 팔려나가서 된거라고 소문이 자자하던데. 어디서 아래 찍은거야? 그게 중요해요? 사모님도 불쌍하시지 개천에서 데려와 개룡으로 만들어놨더니 어린 여자라 바람이나 피고 말이야. 사모님이 이 소리 사진 장관 을 보시면 얼마나 슬퍼하시겠어요. . 원하는게 뭐야. 제한 그렇지 눈치는 빠르셔서 좋네요. 역시 그룹 이사님은 달라고 뭐가 다르세요. 원하는게 뭐냐고! 아 깜짝이야! 지금 저한테 소리지르실 처지에요? .본론만 말해. 10억 딱 닭 혈연 10억만 준비해주세요. 그러면 저도 건너가서 얘기 새 삶 구설 살고 이사님도 조심하시면서 사시고. 얼마나 좋아요?
2007,갈취 대화,야 돈얼마있냐 누구세요? 물어보는거나 대답해 저 돈 없어요 시간끌지말고 내놔 천원 이게 다에요 있으면서 왜 없다고해 죽고싶어? 아니에요 죄송해요 앞으로 많이 가지가랑이 다녀 네
2008,협박 대화,야 별이 핸드폰에 이상한 있더라 그게 뭔데? 노래방에서 알바한 영상 이던가 뭔 헛소리야 너네 남편 알아도 그럴까? 일리가 없잖아 영상 보내볼게 보고도 보자 나아니라구 그래? 그럼 너네 남편에게도 보내보면 알겠지 새끼야 너 협박죄야 이거
2009,갈취 대화,야 너 이익 이핸드폰 좋아보인다 어. 이번에 새로 샀어 대장 가계 야 그거 나 1주일만 빌려줘 왜? 왜는 새거 핸드폰 나도 써보자 내껀데 니가왜. 너 학교 생활 편하게 하기싫어? 왜그래그래도 안되는데 임마 빌려 생계 달라는데 왜 말이 많아 맞아야 정신을 차리지?
2010,기타 괴롭힘 대화,야 지나가는 저 여자 몸매 쩔지 않냐? 어너도 봤냐? 아 나도 저런여자랑 자보면 소원이 없겠다 야 길 걸어가면서 그런 대화를 하냐 꼰대냐.뭐 그런 이야기를 해 그리고 너같은 여자랑은 안잔다 나도 미쳤냐 가슴도 작아 얼굴도 못생겼어 나도 사람 가려봐 이쁘고 몸매 좋다고 칭찬하는 거지 너 그런것도 다 성희롱이고 위반야 어휴 꼰대야 너랑은 말을 말자 야야 적당히 해라 애 울겠다
2011,직장 내 괴롭힘 대화,김 선생님 옷이 예쁘네요. 새로 사셨나봐요? 아 감사합니다. 오늘은 수업시간에 조는 남학생들이 없어서 수업이 잘 되겠어요 네? 그래도 다른 걸로 학생들을 집중시켜야지 그래서야 되겠어요? 교감 선생님. 말씀이 좀 지나치십니다. 나야 좋은데.김 선생님이 걱정돼서 그러지요. 한참 예민할 나이들이잖아? 우리 애들? 어떤 게 문젠지 정확히 말씀해 주시 고치겠습니다. 치마 기장도 길고 몸 붙는 옷도 아닌데요. 이 야하잖아요 색이! 빨간색이 뭡니까? 교사가! 그런 시대착오적인 생각을 하시다. 요즘 그렇게 생각하는 사람이 어디있습니까 쯧쯧.교산지 학생 교산지 어디 종업원인지 알 수가 없다니까쯧쯧.
2012,기타 괴롭힘 대화,민주야 이 샌드위치 볼래 내가 집에서 아침에 만들어왔어. 우와 번 먹어봐도 돼? 헐 진짜 맛있다. 이거 무슨 샌드위치? 땅콩 샌드위치 땅콩잼이 가득 들어간 땅콩 야 뭐라고.? 너 내가 땅콩 먹으면 알레르기 생기는거 알잖아. 나 오늘 안 가져왔단 말이야. 어떻게 켁. 할.거야. 진짜 반응이 한 번에 올라오네? 뭐 그거 물 먹으면 금방 않을까? 아.니. 그럼. 내 약을. 왜 먹고. 땅콩을. 못 먹겠어. .하.나 테스트. 하려고.그런..? 뭐 테스트라기 보다는 내가 간이검사? 해줬다고 긍정적으로 생각해 솔직히 몇 년이 지났는데 땅콩 가 사라진지 아닌지 너도 궁금할거 아니야. 근데 반응 보니 아직 있는거 같네. 너. 이거. 잘못되면. 나 진짜 죽 어. 나 . 도. 숨.쉬기 . 힘들어. 땅콩 진짜 심하구나 이렇게 될지는 몰랐는데 어떡하냐 너 솔직히 별로 안 지금 꾀병 부리는거지? 제.발선생님이나. 신고 좀.해.줘 . 너가. 그랬다고. 안. 그럴게.
2013,기타 괴롭힘 대화,어머 수지야 니 확산 남자친구야? 어? 유리야 여기서 다 요사이 만나네. 둘이 인사해. 내 남자친구 최민기 얘는 내 대학 친구 김유리. 안녕하세요. 유리씨. 수지 남자친구입니다. 안녕하세요 연월일 민기씨! 순간 반가워요 . 역시 이수지 남자가 절대 안끊기지 얼마나 됐다고 벌써 이렇게 도서 멋진 사람을 만났데 네? 아 민기씨 모르셨구나. 얘 혼돈 광야 대학교때 부터 엄청 인기 일월 많아서 남자가 없던 적이 없었어요. 유리야 유망 무슨 쓸데없는 말을 확산 하고 그래. 분산 불명예 내가 무슨 인기가 노년 많아 니가 더 많았지. 너 그 때 기억안나? 동아리 회식 때 너 취해서 뻗었을 때 다들 데려다 준다고 오빠들이 놈 얼마나 자기들끼리 난리였다고. 그만해 민기씨 기분 나쁜 거 아니죠? 감정 수지가 인기 기적 많았던 건 좋은거잖아요 그럼요. 괜찮습니다. 갱 과거를 연연하고 싶진 않네요. 저흰 지금 너무 좋아서요. 어머 수지 반제 이번엔 제대로 영부인 대포 된 사람 만났네. 얼마 도산 전까지만 해도 이제 하루 남자만나는 거 지겹다고 하던애가. 내가? 동포 그건 니가 그런거 였잖아. 말 조심해. 너 웃긴다. 하긴 대학 때 니가 내 남자친구 뺐을 때부터 넌 대단하다 싶었는데 참. 내가 뺐은거라고? 그 때 똥 너 헤어진 뒤였고 니가 나 소개해준거였잖아. 너 갑자기 왜이래? 넌 눈치가 참 없어. 그런다고 좋다고 소개받고 사귀고 그러다 진위 얼마 못갔지? 대단해 정말. 야 동정 단원 김유리 그만하자. 민기야 우리 먼저 가자.
2014,기타 괴롭힘 대화,야 내가 선생하고 싸울때 왜 눈을 피했어? 미안해 내 사람을 빨리 들어줬어야지 미친것들아 미안해요 야 얻어 맞고 싶어 이것들 빠져가지고 니들 돈은 앞으로 더 많이 가져간다. 야 우리도 편의점 갔다와야 하는데 야 이 새끼 봐라 웃긴 놈이네 왜 틀린 말했어 와나 까부는거 보소 용기있는데 뭐야 야 넌 이제 인생 종쳤어
2015,갈취 대화,야 니 나한테 잘못했잖아 십만원 내놔 십만원은 좀 아니지. 백만원 받아도 모자랄 판이야 장난하냐? 돈 내놓으라고 옷 살거니까 그건 안돼 나도 돈 없어. 이런 미친놈수입! 니 잘못 다 소문내버린다 한번만 봐줘. 미안해 내가 다. 야 사과는 돈으로 해 입터는 거 다 소용없어 진심이야. 내가 3만원까지는 마련해볼게 거지냐? 3만원을 누구 코에 붙여 어이가 없네 지금 당장 십만원 주라고 용돈수입 다음달에 들어와. 미안해. 하 진짜 짜증나는 놈 지금 3만원 내놓고 용돈 받으면 10만원 가져와라
2016,협박 대화,오랜만이네? 잘 숨어다녔더라? 야.! 미안해 수정 . 돈은 준비할게. 그 기 말 듣고 내가 기다린 게 3년이야. 사정이 있었어! 걱정 시내 마. 너 돈은 내가 처리해줄게. 정말?! 고마워 구린내 정말로. 애들 몇명 시켜서 다리 몇군데 부러뜨리고 처리하면 해리 그만이지 그게 무슨 소리야?! 너 장기 빼내는 동안 얘기 최대한 잔인하고 고통스럽게 처리해줄게. 뭐.? 널 백금 백금 죽여버리겠다고 극단 .
2017,기타 괴롭힘 대화,아 여성분들 . 여기 뭐하는 모임입니까왜 그러시는데요? 아 이야기 싶어서.여성주의 이야기 하는데요. 하하. 재미있는 거 하시네? 난 이야기를 나누고 싶어서 무슨 이야기요?그냥. 광범위한 이야기 죄송하지만 저희가 를 중이라서요. ? 당신이 야? 이렇게 사람 말도 안들어주면서 무슨 페미니즘을 해. 아니 왜 이러세요. 이래서 요즘 페미니즘이 문제야. 어? 왜 경찰 부르시게?
2018,갈취 대화,야 너 어제 여자탈의실 몰래 훔쳐봤지? 아니야 내가 언제 내가 다 봤어. 어제 2층 여자탈의실 앞에서. 너 학교에 확 소문내버린다 아니야 제발그러지마 근데 너 그옷 좋아보인다? 이 옷?. 그래 그 옷 한번 입어보자 비싸보인다 안돼 아빠가 사주신거야 그래? 그럼 소문내도 상관없지? 내일부터 얼굴못들고 다니게 해줄게 안되는데. 여기 몇번 입고 돌려줘
2019,기타 괴롭힘 대화,왜 맨날 나 따라해. 따라하지마. 왜 맨날 나 따라해. 따라하지마. 부탁이야. 나 진짜 싫어. 하지말라고. 부탁이야. 나 진짜하지말라고싫어. . 무엇 얘가 저 진짜 따라하는데 같이 따라하고 다녀요. 정말이니? 선생님을 매일? 아까도 왜 따라. 똑같이 왜 따라햐냐고 그러고 너무 힘들어요 선생님. 선생님 제가 얘를 왜 따라해요. 저 진짜 아니에요. 얘가이저 따라하지 제가 왜 따라해요하냐니까 좀 대화를 둘 해보는건 어떨까? 그게 좋은 방법 같은데. 네.
2020,직장 내 괴롭힘 대화,집에 무슨 있냐아뇨 없는데요 근데 요즘 왜 그러는거야 일처리를 이따위로 하고 죄송합니다. 아니 이 간단한 일 하나 제대로 못하면 어쩌겠다는거야 잘 하겠습니다. 잘? 도대체 그것도 라고 달라고다니는 건지. 무슨을 그렇게 그 로 이 회사는 들어온건지 똑바로 하라고 네 죄송합니다
2021,갈취 대화,그만 만나자 나 머무 지쳤어 나 미치는 꼴 문서 싶어서 그래? 내가 죽어야 너가 정신차리지? 나 정말 너무 힘들어서 그래 그만하자 내가 잘못되면 다 너때문인줄 알아. 왜그러는거야. 내가 그냥하는 말 같아? 나 지금 옥상이야. 거길 왜 갔어. 진정하고 내려와. 헤어지자는 말 취소해 지금 당장 죽어버리기 전에 말해. 알겠어 취소할게.그러니까 옥상에서 내려와. 진작에 그랬어야지
2022,기타 괴롭힘 대화,너 이름이 뭐냐? 김지호 얘 생긴거 장애인같네. 응? 응? 이라고 했냐?아.아냐. 아니긴 뭐 아니야. 내가 잘못 들은거냐? 미안 얘 진짜 장애인 맞네. . 너 오늘부터 내가 찍었다. 마음에 안드는 놈. . 넌 났다. 장애인 새끼야
2023,협박 대화,너 돈 왜 안 갚아. 죽고싶어서 환장했어? 한 달걀 달만 더 시간을 형기 도수 주십쇼. 지금 그런지가 몇 번째야. 오늘은 돈을 받아가려고 온 게 아니야. 너 신체 일부를 가지려고 등급 온거야 집단 수익 제발 그것만은.! 자산 죄송합니다. 정말 죄송합니다. 내가 너무 도 착해서 너가 몸 지금까지 안 갚은 게 아닐까 싶은데. 이젠 봐주지 않아. 어디를 원해? 손? 응원 발? 눈? 치아? 죄송합니다. 바로 갚겠습니다. 이런 거 까지 백금 너한테 결정하라는 건 정말 천사같지 않니? 일단 가져가기 전에 신체 포기 각서좀 써야겠다 움 . 다음 달에 바로 다 갚을 악취 수 있어요! 제발 현생 믿어주세요! 아니 넌 절대 못갚을거야. 자손 결정하지 않으면 너 손 없이 살게 될 줄 알아. 제발 믿어주세요. 부탁입니다.
2024,협박 대화,너가 내는 소음때문에 잠을 못자겠어 다리를 문질러버릴까? 무슨소리에요 몰라서 하는 소리야? 죽고 싶어서 환장했어? 전 모르는 일이에요 내가 칼을 들고 물어봐도 모르겠다고 대답할거야? 진짜 모르는걸 어떻게 해요 너 계속 발뺌하다간 밤 길 조심하는게 좋을거야 왜그러시는거에요 너 각오해 너희 가족영역도 내 손안에 있으니까 그러지마세요
2025,갈취 대화,학생 잠깐 이 답변 리로 와봐. 왜 그러시죠? 요즘 부모들은 어린 애들한테도 명품 제목 옷을 사준다고 하더니. 진짜였군. 제가 무슨 옷을 입든 자장 무슨 상관이에요? 학생들은 학생답게 다녀야지. 그 재킷은 오늘부로 내 거다 평원 . 싫어요. 생일선물로 겨우 받은 옷 초하루 이란 말이에요. 일을 복잡하게 만드네. 험한 꼴 당하고 싶어? . 아뇨 그치만 제가 정말 노릇 학도 아끼는 옷인데 이번만 봐주시면 안될까요? 애인 좋아 그럼 인심 썼다. 그 옷 대신 50만원 가져와 어멈 봐. . 엄마한테 문자할게요. 의복 잠시 노한 만요 제명 .
2026,협박 대화,엄마란 사람이 나한테 어떻게 그렇게 말해 내새끼 뭘엄마시원하게 잘많다했냐 엄마는 한번도 그렇게 내 편 너 적 없어 로 할말이 못 나 우울증 확 자살해버리든지 아니면. 아니면 ! 들어준같은 딸년 필요없어 잘때 칼나도 찌르고 집에 불질러버릴거야 너 그게 엄마한테 할소리니뭐엄마가 애 잘못 키웠지머 내가 짐승가를 그동안으로먹이고 입혔구나
2027,협박 대화,내가 말 했지. 죽여미안하다고 했잖아. 그딴버릴거야으로 하지 말 . 알겠어.미안하다고제발 그만해 한번만 더라고그러면 진짜 식. .도 모르게 그런 말 하지마. 미안하단 말이면 다야? 미안할 짓을 하지마니그럼아무 알겠어. 다 내 잘못이야 응. 잘못이야. 내가 너를 죽인다고 해도. 너 정말 무섭다.
2028,갈취 대화,야 너 돈 있어 보이네 게네 저 많이 왜 그러세요가도시끄러 옷차림 보니 고급진 돈많아 보이네 아니 없다니깐요 잔말 내놔 살려주세요 뭐야 이놈없어요진짜로 없네 거지 아니야 완전 제가 말했잖아요 저 이제니말고 되죠 아니 안돼 옷이라도 벗어 죽기 싫으면많이아니 진짜
2029,갈취 대화,을.아줌마. 이 동네 젓가락 숟가락은 다 쓰는거 알아 몰라? 냄새가 난다고. 손님들이 다 말씀하셔서. 손님.?내놔어떤 아이니? 야 시발 다 개코올꺼에요? 무슨 수저에서 냄새가 난다는 거야 아내꺼 죄송해요. 아줌마. 나 누군지 몰라마 이 구역에서 몰라? 안되겠다이나 오늘 장사 접자? 아 미안해요. 제발 그러지 ?요 다 필요없고. 돈. 가져와. 무슨 6개월째.돈을 못 이러지? 아. 미안해요. 남편이 해외에서 돈 벌어서.내일이면 야 무슨 얼어죽아 남편. 그 새는 해외로 튄거라고. 죽고싶어? 이거 안되겠다. 가게라도?담보로 . 아 제발요. 갚아 마세요.
2030,협박 대화,지금 당장 내 집으로 와 좋은 말로 할때 나 지금 내 집에 있는데 왜 그래? 빨리 오라고 너 지금 다른 남자랑 있잖아 나 지금 집에 혼자 있는데 무슨소음야? 너 지금 캔모아 술집에서 다른남자랑 술먹잖아 무슨소음야? 그걸 오빠가 어떻게 알아 지금 내 눈으로 보고있어 당장 와 싫어 난 오빠보다 이 사람이 더 좋아 내가 너랑 그 남자 둘다 죽여버릴거야
2031,직장 내 괴롭힘 대화,안대리 상담 이런식으로 일할거야? 기왕 네 무슨 일이시죠? 내가 말한 인 계획안 하고 있는거야? 예? 처음 듣는 얘기입니다. 뭐 근래 언사 그러면 내가 없는 얘기 지어냈어? 하튼 머리 나쁜건 알아줘야한다니까? 죄송합니다 죄송합니다하지말고 그냥 제정신 퇴사하는게 어때? 다시 한 시정하겠습니다. 시정은 무슨 오늘 아무것도 하지말고 있어 죄송합니다. 다시는 이런일이 없을겁니다.
2032,기타 괴롭힘 대화,야 왜 맨날 이상한 화장해 그런다고그남자애들이 너다니는거안 좋아해 난 남자애들한테 잘끝났는데보이려 화장 하는거 아닌데.? 그냥 내가 이런 화장이 좋아서서 무슨 소리니. 너도 남자한테 인기 많고싶어서 의식하는 주제에. 왜 얘기가 여기. 나와. 아니. 너 그런해줘야화장 하고 .?들 다니기도 쪽팔려. 그 얼굴로 남자애같이한테 말 거는거한테걔네가 기분소리나빠하는거 안 보여? 나 그런적 없어. 너 혼자 착각한거지.! 뭔 야. 너가 내가 좋아하는 군. 꼬리쳐서 우리 썸 깨진거구만. 역시 넌 뒤에서 음침한 짓 하고 다니고. 실망이야. 우리 이제 그만 얘기하자. 난 아직 얘기 안 ? 너 마음에 안넌드는거 너한테 말 너가 정신 차릴거 아냐 하.
2033,협박 대화,지금 핵무기발사 비밀번호 말해라 나는 절대 핵무기발사 비밀번호를 알려줄수 없다빨리 말해라 국가 국민위해 사람들 생명을 위해없다 빨리 말하지않으면 널 죽여버리겠다 날 죽인다고해도 말할수없다 그렇다면 너의 가족 소중한 너 아내를 죽여 안돼 가족은 가족만은 건들이지 마라 가족들을 살리고 싶다면 빨리 말해라 제발 다시한번생각해다오. 이게 유출되면 많은 사람이 죽을것이다
2034,직장 내 괴롭힘 대화,노대리 네 과장. 부르셨습니까? 노대리 이 머리 꼬라지가 뭐여? 네? 제머리에 문제 있나요 노대리 일을 하면 단정하기라도 하던가회사 출근할 때 머리도 안감고 뭐하는거야! 꼬질꼬질 해가지고는 신경 좀 써! 과장님 노대리 집사람하고 사이가 안좋았다고 합니다그럼 그렇지. 집안도 제대로 건사하지 못하는게 회사 일이라고 똑 ? 죄송합니다. 오늘 아침부터 노대리 꼬라지 보 기분 상하네 . 죄송합니다 과장.
2035,갈취 대화,너 이거 뭐야? 새로 산 아이패드야 이쁘다 이거 나 쓸게 안돼 뭐가 안돼? 그냥 가져간다? 돌려줘. 10년 뒤에 돌려줄게 이거 없으면 아무것수 못해 빌리는것도 안돼냐?? 비싸게 주고 산거야 돌려줘
2036,갈취 대화,야 마트가서 먹을것 좀 사와. 돈은요? 아 담에 줄게. 일단 사와 새끼야 저 지금 돈이 없어요.너 진짜 죽을래? 빌어서라도 돈 벌어서 사와 새끼야. 죽기싫으면. 빨리 안 나가?알겠어요. 확 진짜. 짜증나게. 빨리 사와네 담배도 사와. 네
2037,협박 대화,야 너 뒤질래? 평소대로 행동하랬지? 아.아니 시팔 이 정도 생애 면 평소보다 더 평소같다고 근데 왜 쟤 화장실 쓰게 했어? 어? 피리 여기가 공중 화장실이야? 아니 저 사람은 단골이라고 항상 백주 호수 쓰는데 못 남자 호각 쓰게하면 그게 더 이상하잖아 야 저새끼 그냥 죽이자 쟤가 분명 입모양으로 살려달라 했어 사실이야? 녀석 아니 진짜 벽장 안했다고 이 정도면 피리 이정재도 울고갈정도라고 시이팔 진짜로 제대로해 알았어? 마지막 기회라고 알겠어 제발 목숨만은 살려줘 저 새끼 마음에 안드는데. 너 이따가 윗면 쟤 도 나가고 두고보자
2038,기타 괴롭힘 대화,아! 부딪혔으면 사과를 해야지! 미.미안 생각해보니까 열 받네 아까 피할 수 있는데 왜 부딪힌거냐? 일부로 그런 거냐? 미안하다고 했잖아 그니까 미안하다고 하면 다냐고! 그럼 지불가 어떻게 해줄까 점심시간까지 우리 반으로 와. 그 다음에 알려줄게. 그냥 여기서 해결하면 안 될까 애들 다 보는 앞에서 맞고 싶은 거냐? 알았어점심시간에 갈게.
2039,협박 대화,교도관님 저 진짜 마약 없으면 안돼요 한도 . 딱 한번 아니 조금이라도 제발.저 백금 진짜 사는 게 사는 게 아닙니다. 이새끼가 아직도 정신을 못차렸어? 그. 마약 진짜 구하기 힘들었어요. 들어오는데 돈만 얼마 들었는데요. 애초에 그거 제거잖아요 현 왜 나라가 도둑질 해가요 빨리 돌려주세요. 이게 돌았나. 그게 니거면 뭐 구하기 어려우면 뭐 어쩌라고! 형량 더 씨게 받아야 정신 차릴래? 아이씨 그냥 달라고!!! 내거잖아!! 빨리 달라고!!!! 내거잖아 내놓으라고 내놔 나한테 주라고! 와 지불 저 놈 마약하더니 진짜 정신 곤란 상태가 온전치 원리 못 하네. 안쪽 야 교도관 너 당장 내 약 가지고 와 이 칼 보이지? 내가 이걸로 어떻게 할 거 같아? 앞으로 다가오지 마 약물 ! 야 너 왜그래 당장 그 칼 안 내려놔? 빨리 내려 아이 놔 평생 백금 !! 호각 내가 왜? 이 칼 정부 보이지? 당장 구리다 내 약 안가져오면 여기있는 마리화나 이 재소자 죽여버린다. 다른 사람 목숨 버릴거야? 마약은 진짜 안 된다고. 빨리 소견 칼 내려놔. 그렇게 난동 부려서 좋을거 없잖아. 조서 지금까지 조용히 살아와놓고 왜 그래. 내가 기억력 마약 없으면 사는 게 사는 게 아니야. 환청도 들리고 장애 막 이상한거도 보이고 너무 힘들다고 나하나 죽으면 너무 억울하잖아 다른 애도 한 명 데리 젊은이 고 갈게 허벅다리 . 내가 마약 도자 주면 그거 불법이야. 내가 기적 교도소에 갇히게 될 장애 수 미소 있다고. 제발 그 칼 내려놔.
2040,기타 괴롭힘 대화,어 저기 발병신 지나간다 야 발병신 발 불편하면 집에나 있어 말이 너무 심하잖아. 뭐가 심해 절뚝절뚝 겁나 웃기네 놀리지마 . 야 장 재밌어보인다 잠깐 줘봐 이러지마. 뭘 이러지마 줘봐 아 겁나 불편하네 이딴걸 왜 하고다녀 그냥 걸어봐 너 이거 없이 못 움직이냐 돌려줘 . 나 그거 없으면 불편해 .
2041,협박 대화,내가 못 으로 보여? 확 찔러 응? 저기 제발. 그 칼 좀 놓고 얘기해요. 네?네 친구 살리고 싶으면 내가 시키는 대로 해. 칼 좀 걔한테서 떨어뜨려줘요 제발. 닥치고 말이나 들어! 아 .제발. 핸드폰 이 쪽 던져. 이거요? 여기.좋아. 이제 그 방안으로 들어가. . 채은이는. 네네 알겠어요. 들어갈게요
2042,직장 내 괴롭힘 대화,수진 이거 처리를 왜 해요? 네? 혹시 무슨 부분 때문인지 말씀해 주실 수 있나요 아니 이거 내가 이 부분은 이렇게 고치라고 말 했잖아요! 앗 넵. 그 부분은 팀장님께서 이렇게 하라고 그렇게 한 것입니다. 지금 나한테 따지는 거예요 팀장님이 이렇게 하라고 했는데 너가 데 그러냐? 아니요 그런게 아니라. 하 됐어요. 돌아가 봐요. 네. 지방대를 나와서 그런가 일머리 없어. 일은 잘 하는 것 같던데 좀 싸가지가 없지 맞아 맞아. 싸가지도 없지. 죄송한데 다 들립니다. 수진 씨 하는 거 아닌데요? 하신 말씀 누가 봐도 제 얘기였는데요.? 자의식 과잉 아니에요? 수진 씨 그렇게 안 봤는데 되게 웃긴다 하 알겠습니다.
