idx,class,conversation_ri
1476,협박 대화,내 부하를 살려내지 않으면 당상 죽여버리겠다. 누구십니까?? 살려내라니요. 긴 말은 필요 없다 당장 살려내 잠시만요 너무 피가 많이납니다! 죽고 싶은 거냐? 살려내!! 당장 살려내라니요. 피가 너무나서 과다출혈위험이 있어요 지금 당장 살려내지않으면 바로 죽여버리겠다. .준비비율 시간이 필요합니다! 당장 수술실에 들어가서 살려내라! 준비하겠습니다.
1477,갈취 대화,야 나 빌려주라 어? 저번에 빌린것도 안갚았잖아. 그건 그거고 나 급히 필요해서 그래 힘들거같아 진짜 이럴래? 너 나 앞으로 계속 봐야할텐데. 감당 가능하겠어? 얼마 필요한데. 1000만원만 빌려줘 나 지금 그정도 돈 없어. 그럼 지금 대출이라도 빌려줘. 나 지금 대출이 돼 무슨 소리야.
1478,갈취 대화,야 문 열어 문 논 안 원피스 여냐!! 아.너네가 여기 까지는 뭔 일이야.? 원피스 제의 타 이득 우리집에는 왜 백금 왔어 가운데 ? 세대 점토 뭘 왜 세대 경고 오긴 왜와. 원피스 야 잇속 너 옷 구경 좀 년 하자 소득 . 옷 여기 있어. 내부 옷은 왜.? 야 이거 얼마전에 월 아버지 귀 나온 비싼 브랜드 옷 맞지? 응 부모 아빠가 사주셔서. 그건 안 돼. 내부 가져가지 소득 마. 누가 가져간다냐. 전등 며칠만 입고 안쪽 돌려줄게 안 돼 기왕 ? 그거 없으면 아빠가 화내셔. 그거 말고 다른건 가운데 가져가도 돼. 이새끼 가인 비싼거 엄청 밝히네 구 . 그냥 가져갈게 야 아빠한테 득 학교에 두고왔다고 하면 속 될거 아니야. 그거 근데 진짜 비싼거라 뭐 묻히고 피복 가운데 그러면 아비 안 돼. 안쪽 야야 안 묻혀 걱정은 11월달 쯤에 돌려줄게 교육 . 그건 며칠 협찬 이 아니잖아. 드레스 순이익 거의 두 달인데. 부군 그래서 뭐 문제 어쩌라고 안 빌려줄거야? 야 원리 사문 월 이게 얼마 이목구비 한다고 그러냐. 니 동의 그냥 예의상 받은거야 남자 . 잘 있어라. 깔끔하게 입고 돌려줄게
1479,갈취 대화,야. 저.저요? 가운데 피리 그래 너. 내가 지금 내부 메모리 돈이 없어서. 만원만. 수컷 자산 상담 무.무슨. 말도 값 안 되는 순리 맞고 줄래 그냥 축소 줄래? 저 현세 돈 없어요!! 치 뻥치지마 아까 편의점 나오는 거 다 봤으니까. 그 그건.!! 잔말 적 말고 있는 거 내부 다 매연 내놔. 하지만. 비용 어서!!!!! 세대 구설 맞아야 지식 정신 차릴래??
1480,갈취 대화,권사님 건축헌금으로 재 이만큼은 내주셔야죠 축조 . 아이고 집사 길 님 저희 가족 축조 한테 후회 소중한 돈이어유 수입 . 주님께서 다 내부 보상하실 겁니다. 어떻게 모은 돈인데. 회개 물가 하시고 천국 가셔야죠 속 그렇죠? 어떻게 다른 값 표면 방법으로는 귀 매가 안 될까요? 예수님 앞에서 내부 부설 부끄럽지 않습니까 됨됨이 ? 아이고. 권사님 같이 기도하십시다. 우리 가설 방도 권사님께서 됨됨이 용기를 후회 낼 수 기지 있도록! 집사님. 안돼유. 저희 손자 상수 등록금이어유. 어허 권사님 자두 ! 이러시면 정말 곤란해요!
1481,기타 괴롭힘 대화,어머 취기 얘 오랜만이다 안녕하세요 잘 지내셨어요? 얘 근데 넌 순이익 대천 종 인물 살이 좀 찐것 같다? 가운데 아.네 귓바퀴 기호 쪽 그렇네요. 여자애가 이렇게 걱정 살이 뒤룩뒤룩 찌면 남자들이 안좋아해. 얼른 하 살 번민 등뒤 좀 현금 빼야겠다. 네 상표 하 그럴게요. 그리고 맛 들판 수량 너 쌍수할 생각은 감정 없니? 네.? 하하.글쎄요 기적 비율 . 내 내부 가 보니까 넌 쌍수를 해야되는 눈이야. 지금 봐 축 쳐져서 졸려보이니까 전체적인 우려 엄니 인상이 어두워 내부 보이잖니. 안 그래? 네.고민 표 개울 방파제 해볼게요.
1482,기타 괴롭힘 대화,아 멍청한 프린터기 같으니라고 야 왜그래 프린터가 제대로 안되잖아 내가 해볼게 됐지? 오 대박 으이구 기계치 맞아 너 프사도 모르지그정도는 아니거든 에이 맞는 거 같은 데 우리할머니가 너 보다 잘하겠다
1483,기타 괴롭힘 대화,와 아무것도 모르는 진짜 소름 끼친다 응.? 너 뒤에서 뒷담까고 다닌다며? 무슨말이야 .? 너 아빠도 없다며 아? 엄마도 마다 안 온다며? .?집안 꼬라지가 그러니 너가 그 꼴인가? 너희 부모는 자식 교육이나 좀 잘 시키지 뭐.? 뭐 제대로 된 부모가 아니니 뭘 알겠어 .사과해
1484,갈취 대화,야! 잠깐 이리로뭐라와봐 나? 왜 없어. 내 요즘 갖고 싶은게전있거든 그래서 돈 좀 주라 나도 돈이 그러는데 얼마 에 용돈 받았잖아 문제집아니고 학용품 살 돈이야 다시 용돈 받으면 되잖아께서지난번에도 돈 부족해서 받아서 안되는데 내 알바 이랑 이건가내가 하실텐데 알아서 잘 둘러대 부모님 가져갈테니.
1485,갈취 대화,야 입금 언제 할 건데? 조금만 시간 수입금 을 주세요. 너가 미쳤구나 이젠 못 기다려 정도 정도 시가 . 돈을 어떻게든 값어치 미소 구해 볼게요. 순이익 이젠 다 끝났어 수입금 . 너 나체사진 퍼센트 주변인들에게 시대 보낼 거야 대중 . 정도 정말 영리 죄송해요. 값 일단 100만원 드릴게요. 이번만 참는다. 다음주 까지 비례 이빨 돈 들고 와. 네 알겠습니다. 죄송해요.
1486,기타 괴롭힘 대화,야 넌 상담 어떻게 사냐 무슨 말이야 그렇게 토 나오게 생겨서 어떻게 전언 사냐고 그렇게 말하지마 뭐래 돼지 같은게 턱 노년 가 얻 나 수놈 자아 좀 내버려 중편 멧돼지 둬 이제 이게 나랑 맞먹으려고 하네? 신경을 끄라고 그냥 읍 이 멧돼지 못생긴게 엄니 어디서 말대꾸야 맞을래? 하지마 제발
1487,기타 괴롭힘 대화,야 . 좋게만 둘 가야 아 들켰네 너희긴머야 연만이지 생각? 왜 놀라고그래 니 도가 너랑인사 만나라는 법이 있니? 뭐.? 너가 나보다 잘난게 뭐뭐있니 외모? 몸매? 너는 그냥 잠깐 만나기 좋은하니여자일뿐이야 그리고 너한테 이 가 어울린다고 뭐하니? 음남자전혀 하 . 이있을사람 너한테 질릴만큼 질렸으니까 나한테 넘어 온거고 너무 안 남자 생각하지마 아. 때 잘 하지 그랬어 니가 질리는여자인걸뭐내가 뭐 어떻게
1488,직장 내 괴롭힘 대화,안녕하세요. 바쁜데 무슨 일이야. 아 저 7월뭐30일에 개인사정으로 연차 써야 될것 같은데 가능할까요가야 아니 이때 바쁜거 아니요 알면서 연차 쓴다고? 네? 아.아니면 날짜 정아 그때 연차 쓸게요. 날짜 옮길수 있는거면 그렇게 바쁜일도 같은데 꼭 써야돼.? 해주시면.대출때문본인 은행에 ?되서. 아니 본인연차정해본인이 알아서 써야지 왜 나짜증나 날짜를 물어봐 내가 그런것까지 정해줘야돼?진짜 뭐 에 하나 사소한거이 알아서 못하냐고 아.뻔히.날짜 서아닌것다시 말씀드릴게요. 진짜 제대로 하는게 야 아 한테 저리가
1489,갈취 대화,어이 거기 잘생긴 놈 이리 . 네? 설마 네가 잘생겼다고 생각해서 온 거? 재수없네 됐고 돈이나 내놔. 네? 한 대 말을 듣는 프렌즈구나? 자 명치에 빵 들어갑니다잉. 어컥! 엄살이 심하구나 그냥 살짝 건드린 건데. 웃긴 소리가 나네 때 가지고 놀던 배 소리나는 곰인형 . 아 이 새록새록. 허억 왜 이러세요? 얼굴에 소리가 날까 난 좀 궁금한데 너도 궁금하니? 알았어요 돈 주면 되죠? 적선 거 말하지 마라. 짜증나니까. 보자 보자 어디 보자. 뭐야 별로 많이 갖고 다니는 것도 아니구만. 손목에 비싸보이네 내 놔. 아 안 돼요. 그 시계는 할아버지 유품이란 말이에요. 돌려주세요. 어이구 딱해라 쯧쯧쯧. 그럼 어떻게 돌려주는 게 재밌을까 아 맞다. 오천원짜리 만원짜리 지폐 이 보이냐. 겁나 낡아서 내 맘에 안 들거든. 느그 엄마한테 가서 빳빳한 로 새로 달라고 해라. 이 시계 내가 갖고 있으마. 캬 이렇게 담보라는 개념을 배우네. 그게 무슨 도 안 되는. 지금 내가 뜯은 만큼의 두배 가져와라. 뭐 못하겠다면 어쩔 수 없지. 이 시계 어디 가서 팔 수 있지? 아 알았어요. 가져올게요.
1490,기타 괴롭힘 대화,야 너 엄마닮았냐? 아니. 왜? 그럼 부친닮았나보네 왜물어보는건데 아니 너 존 못생겨서 누구 닮았나 궁금해서 왜 우리 부모님까지 들먹이는건데 야 그냥 닥 뒤질라고 나 욕하는건 괜찮은데 부모님은 건들지마 야 내가 우습냐? 쳐맞기싫으면 가만히 쳐있으세요 너 신고할거야
1491,협박 대화,김영감이 우리네 개? 무슨소리야 우리집 개가 그집 닭좀 물어죽였다고 죽인거 아니냐고 나는 모르는 일일세 오늘 혀내 이라고 타서 먹인거 아니야? 나는 아닐세 자네밖에 없네 자네도 우리집 메리처럼 뒤질준비하게 무슨소리인가! 내가 먹여서 죽여버릴테니까 우리 강아지처럼 나는 아닐세 전정하게
1492,협박 대화,너 이 사건에 대해 뭘 알고있지 ? 난 아무것도 몰라 ! 사실대로 용마해 다 알고왔으니깐 뭐.? 난 진짜 몰라 ! 모른다고 ! .너 자꾸 이런식으로 나오면 곤란해 나한테 왜그래 ! 이걸 너한테 투여하면 바로 심장마비가 와서 죽을 수 도 있어 .하지마 제발. 주사 찌르기 전에 사실대로 용마해 .알겠어.
1493,기타 괴롭힘 대화,귀여운 철수야 여기 돈 줄테니까 핫도그랑 콜라좀 사다줄래? 남은 돈은 너 가져 심부름값이야 핫도그랑 콜라 사려면 돈이 부족한데. ?? 무슨 소리야? 돈은 가 거고. 나. 돈 없어. 새끼가 말대꾸가 늘었네? 사오라면 사와. 돈 없다고.! 에라라랄 돈 따고 그건 네 정이고요 종친다 빨리 알겠어. 그럼 이렇게 . 아까는 다른 줄알았다?
1494,갈취 대화,나 돈 너무 급해서 빌려줘 또.?얼마?왜? 그냥 말이 좀 많네 빌릴거면 말을 해야지 좋은말로 할 때 주던가 쳐 맞고 싶냐 못 빌려 주겠다. 어디부터 맞을래 미안해 근데 가운데 돼 친구가 돈 빌려달라는데 미안 일단 꺼져라 진짜
1495,협박 대화,야!이래너 그거 당장 내놔!! 절대 마 줘 이게 얼마나 중요한 증거인데!! 그것만 내가 하라는 건 다 할게. 제발 그거 줘없는 아니 줘 이거주면경찰서죽여 제출하고 너 벌 받게.할 거야. 용서.못야 우리 몇수년 친구냐? 어? 그것만 야해 주면 나 앞으로 착하게 살게 받을 거 용서너 수 . 죄잖아. 정말 못 주겠어? 정말? 내가 평생 감옥에 있는 그건 보고 거야? 받자 응? 다시싶은시작하면 되잖아 어쩔 없지 이걸로 너 죽여버릴 거야 야 너 왜 . 진정해 봐. 내가 너만 죽일 거 같아?가너네 가족도 에버릴게.죗값알겠어 이거 없앨게.다제발 이러지 못.
1496,협박 대화,니가 구리다 내책가져갓냐 잠깐 빌려 간거야 그럼 말 넓적다리 을 소장하 대장 대전 하고 빌려가던가 잠깐 허벅다리 보고 냅둘랴고 했어 근데 교과서 구비하 지불 왜 소장하 아직 들고 잇냐 책하나 가지고 곤란 왜그러냐 당장 내놔라 풀 채무 아직 덜 봣어 다보고 줄게 죽고 싶냐 당장 내놔라 너 협박죄로 고소할꺼야
1497,기타 괴롭힘 대화,웨이터 얼른 일로와!!! 네 무슨 일이십니까? 지금 음식에서 머리카락이 나왔어!! 당장 다시 만들어 죄송합니다 얼른 바꿔드릴께요 죄송하면 다야? 죄송하면 무릎이라도 꿇어야하는거 아니야? 네?? 죄송하면 무릎이라도 꿇으라고 아니 죄송하지만 그건 못하겠어? 꼴에 자존심은 쎄서 어휴 이래서 못배운애장은 안된다니까? .죄송합니다.
1498,갈취 대화,야 너 담배 있냐? 앗. 네 한갑 있어요 그래? 그럼 한갑 다 줘 네? 그건. . 뭐? 그건 좀? 죽고 싶어? 처맞고 줄래 그냥 줄래 죄송해요. 바로 드릴게요 그냥 순순히 주면 될 것 괜히 싫은 티 내가지고 기분 나쁘게 만드냐 짜증나니까 담배 한 더 사와 아. 그럼 돈은. 니는 지갑 돈이 없어? 바로 사 오겠습니다.
1499,기타 괴롭힘 대화,넌 성교 등록 왜이리 얼굴에 여드름 이목구비 이 많아? 나도 그래서 늑대 스트레스야. 여드름 덩어리 이 나이가 몇인데 아직도 이렇게 냉대 기 많은거야? 야 나도 이것 오인 때문에 스트레스인데 노년 너까지 이래야겠냐? 여드름이 많아서 자꾸 민중 사람들이 너를 벗 광야 쳐다보잖아. 그래서 사람들 구설 이 매연 나를 쳐다보든 말든 무슨 상관이야? 같이 다니는 늑대 내가 창피하니까 귓바퀴 것 그렇지. 그럼 나랑 따로 지우 다니면 되겠네. 그래 것 상판 나도 마담 여드름 많은 소유물 등기 이익 사람이랑 나이 친구 엄니 하기 동안 싫다. 그래 나도 나 그것 때문에 무시하는 사람이랑 친구 하기 싫다.
1500,직장 내 괴롭힘 대화,야 작업이 이것 밖에 안돼? 죄송하지만. 야 게임 설정 아무리 잘 만들어 봤자 뭐하냐 죄송합니다. 하지만 시끄럽고 니 같은 쓰래기가 그래픽작업을 이따위로 하면 주변 일하는 인간들 기다려야 하잖아 님 이의 제기 합니다. 그래픽 인원이 너무적어요 그런 퀄리티 작업에 사람이 그렇게 적으면 어쩌자는 거에요!야 세상 좋아 졌다 그치 니같은게 나 대들고 말야 사장님. 넌 오늘 남들 퇴근할때 2시간 작업 할줄알아 아님 너무하신거 아니에요 직원을 더 뽑아 주세요 아님 잘난 코딩 작업자들을 아티스트로 바꾸어치기 자네 나한테 명령하나? 나가 그냥 너 놈 필요 없어
1501,갈취 대화,거기 잠깐 와봐. 네? 누구세요.? 어어 뭐 별 아니고 비싼 휴대폰 들고다니네왜 이러세요. 줘그거 주면 게 보내줄게. 저 가진 거 없어요. 정말이에요. 그건 우리가 볼 테니까 내놔. 돼요. 돌려주세요. 가만히 있어야 몸이라도 멀쩡히 돌아가지. 신고할 거에요 이러지 마세요.
1502,기타 괴롭힘 대화,야 너 반지하에서 산다며?응.그게 왜? 헐나같으면 벌레 엄청 나오는 반지하에서는 못살겠다. 벌레 없고 살만해 괜찮아. 너희 부모님은 돈이 없대? 거지야? 말을 그렇게 해. 아니 그냥 불쌍해서 우리 집은 번에 아파트로 이사갔잖아 너무 그렇구나 좋겠네. 반지하보다는 훨씬 좋지 종종 놀러와 그래
1503,기타 괴롭힘 대화,얘 야. 너네 집 색 안나오니? 그게 무슨 소리야? 아님 샴푸가 없어? 그러니까 갑자기 왜? 아니 머리를 왜 안감고 다니나 해서 나.머리 매일 감거든? 그래?? 아무도 그 말 안 믿을걸? 못생겼으면 잘 씻기라도 해야지. 정말.나 매일 씻는다고. 애들도 다 그래. 학교오면서 좀 씻고 다니지 옆에 지나가기도 무섭대. 이 옮을까봐 아니라고.아니야 정말.
1504,기타 괴롭힘 대화,어휴 지불 야 넌 한도 왤케 뚱뚱하냐? 내가 뚱뚱한게 전언 뭐 메 어때서 야 보기만해도 취기 폐해 역겨워 내가 뚱뚱한게 너한테 쌀밥 무슨 피해가 말 됐니 구리다 ? 어 벼 주 당연히 됐지 뭔소리를 하는거야 야 보기만해도 고도 향내 역겨워서 밥이 안넘어가 미친건가? 야 저리꺼져 역겨우니까 어처구니가 없네
1505,기타 괴롭힘 대화,야야 여기 봐봐 왜? 에베베 너 지금 뭐하는 거야? 나이 장애 있다고 놀리는거야? 그래 놀리는거다! 이 장애야! 정말 너무한다. 나도 장애를 가지고 태어나고 싶어서 태어난 거 아니야. 어쩌라고? 그럼 내 탓이냐? 그만해.제발. 싫은데 싫은데? 난 계속 놀릴거야 흐흑.그만하라고.
1506,기타 괴롭힘 대화,너가 쓴글 다 구라아님? 진 여자 짠데. 증명해봐. 어떻게 학식 믿냐? 인터넷이라 신상털려서 개천 안돼. 인터넷이라고 그렇게 구라치고 다니면서 팔로우 늘리니까 좋냐? 개천 믿기 싫으면 믿지마. 니 실체를 사람 변수 들이 다 알아야하는데 본체 포지션 . 그만 회화 대화걸었으면 좋겠다. 너 논증 도랑 속 얻 현생이 시궁창이라 여기서 발연기 도랑 하네. 위치 그만하라고
1507,갈취 대화,야 야 내가 좀 연기 춥다 환절기 되니까 반제 좀 쌀쌀해 그렇지 자식 ? 어어? 그러네 와 이새끼 현금 패딩 현금 좋은거 입고 다니네 아 소득 고마워 아니 고마워말고 좀 벗어봐 응? 취기 나도 한번 입어보자 어? 입어만 보는거지? 응 입어보니까 보는 것만으로도 다르네 야 이거 내가 후각 악취 지금 추우니까 입고 소장 다음주에 돌려줄게 어?안되는데 야 그럼 내가 현세 납입 추워 얼어 죽었으면 좋겠냐?? .아니. 사나이 현세 그건아닌데 그럼 주말 잘보내라 나 간다
1508,직장 내 괴롭힘 대화,아니 오늘 대리 옷이 참 예쁘구만. 아 감사합니다. 대리는 다리가 예뻐서 조금 더 짧은 치마도 잘 어울릴텐데. 아 부장님. 칭찬은 감사하지만 제 옷은 제가 알아서 하겠습니다. 아니 대리 섭섭하게 왜 그래. 연륜는 대리 생각해서 그러는 건데. 아 네 부장님. 알고 있습니다. 알고 있으면서 왜 그렇게 서운하게 말하는 거야? 다음부터는 조심하겠습니다. 다음 번 생일선물 대리에게 맞는 치마 하나 사줄께. 네 알겠습니다.
1509,협박 대화,왜 배신했어? 죽고 싶어서? 배신 네가 나를 죽이려는 이유나 보자 네가 들어오고 나서 내 너무 마 입지가 줄었다고 사람을 죽인다고? 이 깡패야! 깡패? 네가 날 이렇게 만든 거야 살려달라고 빌어봐 그럼 살려줄 수도 있지 살려만 줘 그럼 세상 듯이 사라질게 내가 날 더 죽이고 싶잖아 하면 팔 만 놓고 가 그럼 살려줄게 머 해? 자르지 않고? 예 형님
1510,갈취 대화,나 오늘 애플워치 좀 빌려주라 손목이 허전해 애플워치? 이건 안 돼 왜 안 돼? 나도 아이폰이어서 괜찮아 반제가 안 된다고 하는 건데. 빨리 시간 없어 내놔 안 돼. 어 손목 줘봐! 반제가 뺄게 싫어 네가 싫으면 어쩔 거야 고마워 안 된다고 다시 줘 제발
1511,직장 내 괴롭힘 대화,자네 내일 아침 과장 에 우리집 들려서 출근하게 과장 네? 내 대역 가 정착 차가 고장났어 아. 그런데 실장님 댁이랑 저희집은 반대 과장 방향이라서 제가 차막힐거 유향 수입 연막 입담 향내 고려해서 5시에는 나와 읍 야할것같은데. 초기 그래서 조금 힘들다? 제 년 가 모양새 그방면 황산 납부 중편 에 집안 저서 아우 사는 사람이 친족 있는지 알아보겠습니다 아니 됐네 냄새 제명 내가 기분이 상해서 그냥 새벽3시부터 나와서 아우 미소 걸어오겠네 그런말씀이아니라. 자네가 성상 표제 직속상사인 제목 나를 태우기 싫어하는데 다른 직원이라도 비슷하겠지 내 알아서 오겠네! 아. 아닙니다.제가 유향 미소 양 가겠습니다
1512,협박 대화,똑바로 안? 지금 이 죄송합니다 그게 수행하다 방해꾼 나타나서. 니가 알아서 ! 니가 하면 어쩔 수 없지 네? 그게 무슨 말씀가 몸으로 떼워야지 자네 신장은 ? 죄송합니다 제대로 하겠습니다 그럼 제대로 해야지 아니면 니 신장하나 떼겠다. 저한테 너무하시는 거 아닙니까 너무하다고? 를 못알아듣네 시간이 지연되면 니 안구 하나 가져갈테니까 똑바로해 하 네 알겠습니다
1513,기타 괴롭힘 대화,저기요! 아줌마 애기 좀 신경쓰시죠? 뭐요? 때와 장소를 가려서 뛰도록 교육해야지 이건 뭔 . 하 어이가없네? 당신이 교육을 제대로 안 시켰으니 애가 괜히 욕 먹지 아휴 맘충 뭐요 맘충? 네 맘충이요! 인성 좋았던 사람이 아기 낳는다고 갑자기 맘충이 되진 않죠 원래도 목였던 사람이 애를 낳으니 이 꼴이죠 말 다했어? 맘충 소리 듣기 싫으면 애 관리 잘 하세요
1514,기타 괴롭힘 대화,당신 어디부서야 사장나오라그 남동생 년 승객 래 고객님 승객 일부 죄송합니다. 이건 제 선에서는.처리가 안되는 부분이고 순사 규칙 방문객 위반입니다. 손님이 하 생 단골손님 덕 승객 왕인데 장난치는거야 죄송합니다.손님. 사장당장 명장 불러 경찰이신고하기전에
1515,협박 대화,어이 거기 누구 담배 있으면 하나만 주라! . 갈때 가더라도 담배 한대 정도는 괜찮잖아? 응? 돛대 한대 드려 오늘 이사회 날이냐? 자성이 전해줘라 회장 자리를 다 앉고 새끼 출세했네!! 거 죽기 딱 좋은 날씨네?! 이제 그만 가시지예아 나 아직 담배 다 안 다 임마 걍 죽어
1516,갈취 대화,어이 가방 좋은데!? 네!? 왜 그러시죠 아니 우리가 밥을 굶어서 편의점 라면이라도 사 먹으려는데 돈이 부족해서 말이야 그런데요?야그런데는 뭐 그런데요야 가방도 고급진거나야보니 라면값 정도는 도맡겨 줄돈수 있지 않을까 이러지 내가 왜요? 왜긴 그래야 네가 여기 곱게 지나갈 수 있을테니까 저한테 해서 와 놓은거 아니시자나요 저리 비키세여 명품 받은거란 들고 다니면서 불쌍한 이웃 라면 하나 사줄 마음은 가방가방 기스라도 사주려나? 어!? 빨리 안 내놔? 없다마세요. 선물 에 말이에여
1517,협박 대화,너 바람핀 사실 남편한테 말할거야. 그건 안돼. 시키는 대로 다 할게. 파혼 시키는 현세 가부 노여움 말씀 가도 대로?? 감당할 수 있겠어? 질투 제발 한밤중 . 부탁이야. 격노 그러면 파혼 오늘 밤 언사 나 벽장 랑 있어줘 년 진리 안쪽 . 그게 무슨 소리야? 시키는 대로 다 비율 한다며 저질. 거리 협박죄로 신고할거야. 그러면 너는 비율 젖소 이혼을 하게 당세 이기심 되겠지. 차라리 기적 하고 최근 말아. 법정에서 보자.
1518,기타 괴롭힘 대화,대체 제게 왜 그러세요 ? 순이씨가 좋아서 그렇죠 왜 그러세요 불쾌 합니다 좋아서 그래요 쫓아다니시면 저는 너무자꾸힘들어요 내일도 올게요 시간에요 절대 오지 마세요 이그건 제마음입니다 괴롭히지 마세요 저는 기다릴겁니다
1519,기타 괴롭힘 대화,야! 다리 병신 그렇게 부르지 말라고 했잖아. 뭐 어때 너 다리 병신 그만하라고. 너 지금 나한테 명령하냐? 이게 뒤질려고 진짜. .잘못했어. 확! 그냥 나머지 다리도 병신으로 주기 전에 꺼져라 미안해. 빨리 꺼지라고 병신아. 아 너 다리 병신이라 빨리 못 ? 미안.갈게.
1520,기타 괴롭힘 대화,오늘은야또 뭔 코디냐? 꺼져 아냐 저 새끼는 걸도 없나 드럽게 저런 야 냄새나니까 좀 그런거 미안해 미안한지 아는왕따새끼가 학교에돈저러고 피해를 주네 그니까 너같은 새끼는 좀 사라져야돼 말이 심하다 심하긴 너같은 애가입어사회에 악이 되는거야 그래 좀 뒤져라
1521,기타 괴롭힘 대화,와 00이봐. 엄청 먹는다. 그러게. 왜저렇게 많이 먹어. 저렇게 먹으니깐 관리가 안돼지. 저 오늘 처음 먹는 식사예요. 그래도 그렇게 먹으면 보기 않좋지 적당히 먹어야지. 언제까지 살도 안 그럴래. 곧 취업 결혼해야하는데 관리안한 여자를 누가 데려가니. 저 나름대로 관리중인데 00아 너 걱정 하는 말이야. 살빼야지 까지 먹고 관리 안할꺼야. 그만먹어 네.
1522,직장 내 괴롭힘 대화,?대리는 집이 좀 사나? 네 아니 좀 사람이 다른거 같아서 무슨말씀 신지 어제하더라회식도 ? 그냥 내키는대로 하는 기분파인가? 아닙니다. 어제는 애가없냐아파서 그랬겠지 늘 가 죄송합니다 상황이 있겠지김 있고들 아니야 남은 사람들만 바보안병신.이지 생각코 자리 마련해서 다같이 기운좀 북돋아보자는 자리에 자네같이?이유치는 사람들이 하나씩 있어? 그런이사람들을 보고 넌씨눈이라고 ? 넌씨발눈치도 오고 김대리 우리초눈치 챙기자 네 죄송합니다
1523,기타 괴롭힘 대화,넌 근데 왜 공부. 이따위로 못더.?? 오늘 컨디션이 나빴을 뿐이야. 너 전부터 계속 이 점수를잖아 재능이 없는것하냐같은데?? 하냐 열심히 해야지. 넌 가망 없다. . 때려치고 기술이나 배워공부 뭔 말을 그렇게 . 맞잖아. 재능없으면 금방 때려쳐야지 시간아깝게 그만해. 왜? 기분 나쁘냐? 그만하라고!!
1524,협박 대화,대답 안해? 생각하고 말해야 할거 아니야.못 말이라도해 그냥 답답하니까또그래 알겠어 뭘알아빨리내가 잘못했어 잘무슨했으면 빌어 . 대답 안하지 아니야 미안해.
1525,협박 대화,총 내려놔 왜? 그러지 않으면 여기 있는 물건 던질 거야 안 되 좋은 말 할때 내 말 들어 어 그래취소 안 들을래내 말 듣지 폭파 시킨다 헉
1526,직장 내 괴롭힘 대화,일 연월일 탐구 을 왜 허벅다리 이렇게 처리해? 건 원래 하던 방도 방식인데 위 요 이렇게 하면 안되지 그럼 다시 알려주시면 초하루 시정하겠습니다 그런건 네 사문 도리 가 알아서 해야지 일자리 저는 고초 단위 이방법만 알고 있어서요 하 문제가 많구만 죄송합니다 그런 태도가 더 문제야 기적 죄송합니다
1527,협박 대화,집단 너 내 마누라 만났지? 무슨소리에요 소유물 형님 엊그제 둘이 길 지출 에서 같이 매 있는거 단위 봤어 그냥 길가다 마주쳐서 구설 인사했어요 재결 거짓말하지마 니 결의 년놈들이 헛짓거리 하고 다니는거 다 영역 알아 마일 오해해 덩이 요 형님 아주 그냥 자형 웃느라 정신 없던데 오랜만이 쪽 라 반가워서 경례 그랬죠 헛소리마 나는 내가 본 것만 믿어 니네 둘다 죽여버릴거야 정말 오해힙니다. 뒤통수 조심해라 입담 연기 벽돌로 내리찍어 절 죽여버릴테니까 재결 눈 목례 에 띄지마 오해해 전언 전언 요. 귓바퀴 인류 형님
1528,기타 괴롭힘 대화,우리 소침떼기가 반장선거 나도 나갈 수 있어. 너같은 아싸 나를 이길 수 있을 거 같아? 넌 나 죽어도 못이겨 그러니까 너무 애쓰지마. 나 을 볼거야. 무슨 최선을 다해 반장선거에 그러니까 너 그모양 그꼴인거야. 선.생님. 도 지원. 아니야 나 할 수 있어. 그래 노력해봐야 거기서 거기지 이번에 꼭 너 이길거야. 소침떼기가 나를 이긴데요! 너 가 어떻게 이겨 못이겨. 노력하면 할 수 있어.
1529,협박 대화,야 넌 죽어야하는 아이야 알고 소중한? 무슨 말이야 내가 왜 죽어야 하는 아이인데니 정말해몰라서 물어 니가 내 친구 칼? 찔렀잖아. 친구 누구로 왜친구가 누군지도 모르는데 나한테 그래. 장난 넌 죽어야 한다고 죽어!!! 제발. 나 진짜있지아니야. 정신차려 넌니? 내 여친이 병원에 입원해있는데도 그래? 니가 죽였잖아.너아니야 나 아니야은 닥쳐 도 걸 잃어봐야돼 지금이야여친 똑같이 해줄게 기다리고 있어 내 여친. 무슨 잘못 나 아니야.
1530,직장 내 괴롭힘 대화,막내씨 .업무 근데 제가 꼭 커피 타야되나요?? 어 당연하지. 잖아 나때는 더했어. 빨리 해커피 하. 여기요 가뭐 한숨을좀왜 쉬어? 커피 타는게 그렇게 싫어?? . 뭐야 이런걸로막내또 기분 나빠져서 속으로 하는거야?? 아닙니다. 욕한적 없습니다. 그래 그럼 저기있는 서류 정리도 오늘내로 다 해놔. 저걸 다 요? 저 혼자서요? 어. 그럼 막내씨가 하지 누가 해 원래 다른지금 아닌가요?욕 팀 바빠! 서로 좀 돕고 살아야지. 막내씨 다 해. 밤을 세워서라도 다야하고 집에아닙니다가!! 네.
